,title,date,desc,content,keywords
14,What you need to know about the coronavirus right now - Reuters.com,2022-03-17T13:08:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 17 (Reuters) - Here's what you need to know about the coronavirus right now:
Britain approves AstraZeneca's preventative COVID therapy
Britain's medicines regulator has approved AstraZeneca's… [+3070 chars]","['#britain', '#astrazeneca', '#march', '#reuters', '#need']"
15,What you need to know about the coronavirus right now - Reuters,2022-03-15T13:11:00Z,What you need to know about the coronavirus right now  Reuters,"March 15 (Reuters) - Here's what you need to know about the coronavirus right now:
China's soaring COVID infections fuel concern about cost of containment
China posted a steep jump in daily COVID-1… [+3357 chars]","['#china', '#march', '#reuters', '#need', '#know']"
16,What you need to know about the coronavirus right now - Reuters.com,2022-03-24T15:34:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 24 (Reuters) - Here's what you need to know about the coronavirus right now:
Singapore extends quarantine-free entry
Singapore said on Thursday it will lift quarantine requirements for all va… [+3486 chars]","['#singapore', '#quarantine', '#march', '#reuters', '#need']"
17,5m people in England to be offered Covid booster jabs,2022-03-20T00:01:40Z,"Vaccine available to care home residents, people aged 75 and over, and immunosuppressed aged 12 and over<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Coronavirus booster vaccine jabs for millions of people in England w…","Coronavirus booster vaccine jabs for millions of people in England will begin to be offered this week, the NHS announced.
The vaccine will be available to care home residents, people who are 75 and … [+2360 chars]","['#vaccine', '#people', '#coronavirus', '#booster', '#jabs']"
18,What you need to know about the coronavirus right now - Reuters.com,2022-03-09T12:57:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 9 (Reuters) - Here's what you need to know about the coronavirus right now:
Hong Kong to focus COVID resources on elderly
Hong Kong announced plans to devote more medical resources to elderly… [+3883 chars]","['#hong', '#kong', '#resources', '#march', '#reuters']"
19,What you need to know about the coronavirus right now - Reuters.com,2022-03-08T12:50:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 8 (Reuters) - Here's what you need to know about the coronavirus right now:
China says Hong Kong must stick to ""dynamic zero"" COVID strategy
A top Chinese health official rallied embattled Ho… [+3487 chars]","['#march', '#reuters', '#need', '#know', '#coronavirus']"
20,What you need to know about the coronavirus right now - Reuters,2022-03-22T13:16:00Z,What you need to know about the coronavirus right now  Reuters,"March 22 (Reuters) - Here's what you need to know about the coronavirus right now:
Shanghai COVID cases hit daily record
China's financial hub Shanghai on Tuesday reported a fifth consecutive daily… [+3152 chars]","['#shanghai', '#march', '#reuters', '#need', '#know']"
21,What you need to know about the coronavirus right now - Reuters.com,2022-03-08T12:50:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 8 (Reuters) - Here's what you need to know about the coronavirus right now:
China says Hong Kong must stick to ""dynamic zero"" COVID strategy
A top Chinese health official rallied embattled Ho… [+3487 chars]","['#march', '#reuters', '#need', '#know', '#coronavirus']"
22,What you need to know about the coronavirus right now - Reuters.com,2022-03-09T12:57:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 9 (Reuters) - Here's what you need to know about the coronavirus right now:
Hong Kong to focus COVID resources on elderly
Hong Kong announced plans to devote more medical resources to elderly… [+3883 chars]","['#hong', '#kong', '#resources', '#march', '#reuters']"
23,"Two years of Covid grief: tributes to family, friends and colleagues who died in the UK",2022-03-23T07:15:23Z,Twenty-four tributes for people who have died from coronavirus on the second anniversary of the first lockdownWednesday 23 March marks two years since the first lockdown. The Guardian has collated 24 tributes for people who have died from coronavirus – one fo…,"Wednesday 23 March marks two years since the first lockdown. The Guardian has collated 24 tributes for people who have died from coronavirus one for every month since the first lockdown began.
March… [+18588 chars]","['#march', '#lockdown', '#wednesday', '#marks', '#years']"
24,Hawaii Is the Last State to Drop Its Mask Mandate,2022-03-09T10:30:03Z,"The state’s governor said the requirement would no longer be in effect starting on March 26. Masks are still required indoors at public schools in Hawaii, the last state with such a mandate.","Students read during class at Garrison Elementary School in Washington, D.C., in January.Credit...Erin Schaff/The New York Times
More and more American school districts have dropped mask mandates in… [+3988 chars]","['#school', '#students', '#read', '#class', '#garrison']"
25,Austria suspends mandatory Covid vaccination law,2022-03-09T09:46:28Z,"EU’s first such rule dropped just a month after it took effect, as minister says it can no longer be justified<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Austria is suspending a law making Covid-19 vaccinations manda…","Austria is suspending a law making Covid-19 vaccinations mandatory for all adults, the government said on Wednesday, just a month after the legislation took effect in an EU first.
The country of 9 m… [+1133 chars]","['#austria', '#suspending', '#law', '#making', '#vaccinations']"
26,Covid restrictions easing across Europe despite surge in cases,2022-03-20T12:01:49Z,"Germany to lift most controls despite daily record as cases also climb in Austria, Spain and France<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Pandemic restrictions are being lifted with alacrity across Europe despit…",Pandemic restrictions are being lifted with alacrity across Europe despite many countries experiencing a record surge in coronavirus cases and concerns about the failure to vaccinate many people cons… [+5259 chars],"['#pandemic', '#restrictions', '#lifted', '#alacrity', '#europe']"
27,Jobs open up for homeless people in UK labour market squeeze - Reuters.com,2022-03-10T07:09:00Z,"When Zara Asamoah graduated early in the coronavirus pandemic, she had no fixed abode and her chances of finding work looked remote.","WATFORD, England, March 10 (Reuters) - When Zara Asamoah graduated early in the coronavirus pandemic, she had no fixed abode and her chances of finding work looked remote.
Now, thanks to an acute la… [+5294 chars]","['#watford', '#england', '#march', '#reuters', '#zara']"
28,China reports 2667 new COVID cases for March 22 vs 2338 a day earlier - Reuters.com,2022-03-23T01:16:00Z,"China reported 2,667 confirmed coronavirus cases for March 22, the country's national health authority said on Wednesday, compared with 2,338 a day earlier.","BEIJING, March 23 (Reuters) - China reported 2,667 confirmed coronavirus cases for March 22, the country's national health authority said on Wednesday, compared with 2,338 a day earlier.
Of the new … [+547 chars]","['#march', '#beijing', '#reuters', '#china', '#reported']"
29,Germany reports another record COVID-19 incidence - Reuters,2022-03-16T07:40:00Z,Germany reported another record high seven-day incidence of the coronavirus on Wednesday even as the country prepares to ease restrictions.,"BERLIN, March 16 (Reuters) - Germany reported another record high seven-day incidence of the coronavirus on Wednesday even as the country prepares to ease restrictions.
The Robert Koch Institute (RK… [+1237 chars]","['#berlin', '#march', '#reuters', '#germany', '#reported']"
30,Germany reports record COVID-19 incidence before easing curbs - Reuters.com,2022-03-15T07:21:00Z,"Germany reported a record high seven-day incidence of the coronavirus on Tuesday, just days before the planned easing of restrictions.","BERLIN, March 15 (Reuters) - Germany reported a record high seven-day incidence of the coronavirus on Tuesday, just days before the planned easing of restrictions.
The Robert Koch Institute (RKI) re… [+916 chars]","['#berlin', '#march', '#reuters', '#germany', '#reported']"
31,China reports 3602 new confirmed coronavirus cases on March 14 vs 1437 a day earlier - Reuters.com,2022-03-15T01:04:00Z,"Mainland China reported 3,602 new confirmed coronavirus cases on March 14, the national health authority said on Tuesday, compared with 1,437 a day earlier.","BEIJING, March 15 (Reuters) - Mainland China reported 3,602 new confirmed coronavirus cases on March 14, the national health authority said on Tuesday, compared with 1,437 a day earlier.
Of the new … [+549 chars]","['#march', '#beijing', '#reuters', '#mainland', '#china']"
32,Indonesia scraps quarantine for overseas arrivals - Reuters,2022-03-21T10:54:00Z,"Indonesia has removed its quarantine requirement for all arrivals from overseas, its tourism minister said on Monday, responding to improvements in its containment of the coronavirus","JAKARTA, March 21 (Reuters) - Indonesia has removed its quarantine requirement for all arrivals from overseas, its tourism minister said on Monday, responding to improvements in its containment of th… [+1643 chars]","['#jakarta', '#march', '#reuters', '#indonesia', '#removed']"
33,China reports 2054 new COVID cases on March 23 vs 2667 day earlier - Reuters.com,2022-03-24T01:13:00Z,"China reported 2,054 new confirmed coronavirus cases on March 23, the country's national health authority said on Thursday, down from 2,667 a day earlier.","BEIJING, March 24 (Reuters) - China reported 2,054 new confirmed coronavirus cases on March 23, the country's national health authority said on Thursday, down from 2,667 a day earlier.
Of the new ca… [+771 chars]","['#march', '#beijing', '#reuters', '#china', '#reported']"
34,Samoa locks down after recording its first community COVID-19 case,2022-03-18T09:12:08Z,A 29-year-old woman tested positive for the coronavirus on Thursday during routine testing before boarding an international flight.,"The Tupua Tamasese Meaule Hospital is pictured in Apia, Samoa, on July 10, 2015. Samoa will go into lockdown beginning Saturday as it faces its first outbreak of the coronavirus after a woman who was… [+3192 chars]","['#samoa', '#tupua', '#tamasese', '#meaule', '#hospital']"
35,Pfizer reportedly will seek FDA approval for a second vaccine booster for people 65 and older,2022-03-15T17:28:32Z,"Pfizer CEO Albert Bourla previously said that a fourth coronavirus vaccine is ""necessary"" to protect against COVID-19.","Pfizer and BioNTech are expected to seek emergency authorization for a second booster shot of the coronavirus vaccine for those 65 and older, three sources close to the situation told the Washington … [+1022 chars]","['#pfizer', '#expected', '#seek', '#emergency', '#authorization']"
36,Covid spike leads to Cornwall’s main hospital halting visitors,2022-03-10T18:15:12Z,Most of the 85 Covid-positive patients at the Royal Cornwall hospital were admitted for another reason<ul><li>See all our coronavirus coverage</li></ul>The main NHS hospital in Cornwall has been forced to suspend almost all visiting after a “significant” spik…,"The main NHS hospital in Cornwall has been forced to suspend almost all visiting after a significant spike in the number of patients with Covid.
Eighty-five patients at the Royal Cornwall hospital i… [+2372 chars]","['#hospital', '#cornwall', '#patients', '#nhs', '#forced']"
37,"China says Hong Kong's priority is to cut COVID infections, deaths - Reuters.com",2022-03-08T05:10:00Z,"Hong Kong needs to stick to its ""dynamic zero"" coronavirus strategy, focused on reducing infections, severe illnesses and death, a senior Chinese health official said, as the city braced for details of an expected mass testing plan this month.","HONG KONG, March 8 (Reuters) - Hong Kong needs to stick to its ""dynamic zero"" coronavirus strategy, focused on reducing infections, severe illnesses and death, a senior Chinese health official said, … [+1896 chars]","['#hong', '#kong', '#march', '#reuters', '#needs']"
38,"China stocks fall on Ukraine crisis, inflation worries - Reuters.com",2022-03-08T04:54:00Z,"China stocks extended losses on Tuesday after hitting a 20-month low in the previous session, as little progress in Ukraine peace talks, worries on inflation, and domestic coronavirus outbreaks weighed on markets.","SHANGHAI, March 8 (Reuters) - China stocks extended losses on Tuesday after hitting a 20-month low in the previous session, as little progress in Ukraine peace talks, worries on inflation, and domest… [+2424 chars]","['#shanghai', '#march', '#reuters', '#china', '#stocks']"
39,"China's shares drop over 1% on inflation worries, new COVID cases - Reuters.com",2022-03-09T05:22:00Z,"China's shares extended losses on Wednesday, as market watchers remain on edge amid fears of a wider impact of commodity prices' surge on Beijing, while new coronavirus cases in the world's second-largest economy also weighed on risk sentiment.","SHANGHAI, March 9 (Reuters) - China's shares extended losses on Wednesday, as market watchers remain on edge amid fears of a wider impact of commodity prices' surge on Beijing, while new coronavirus … [+2681 chars]","['#shanghai', '#march', '#reuters', '#china', '#shares']"
40,Hong Kong study says reopening international travel to have little impact on COVID transmission - Reuters.com,2022-03-22T08:50:00Z,"The full reopening of international travel in Hong Kong will have ""little marginal impact"" on the spread of COVID-19, an academic study said on Tuesday, as the financial hub begins to unwind strict coronavirus measures.","HONG KONG, March 22 (Reuters) - The full reopening of international travel in Hong Kong will have ""little marginal impact"" on the spread of COVID-19, an academic study said on Tuesday, as the financi… [+2523 chars]","['#hong', '#kong', '#march', '#reuters', '#reopening']"
41,Column: China's COVID struggles bring demand destruction back to crude oil debate: Russell - Reuters,2022-03-16T05:28:00Z,"The crude oil market has spent recent weeks worrying about the impact on supply from Russia's invasion of Ukraine, but China's ongoing battle to contain the coronavirus pandemic is highlighting the return of demand destruction fears.","LAUNCESTON, Australia, March 16 (Reuters) - The crude oil market has spent recent weeks worrying about the impact on supply from Russia's invasion of Ukraine, but China's ongoing battle to contain th… [+4377 chars]","['#launceston', '#australia', '#march', '#reuters', '#oil']"
42,"COVID surges in Hong Kong, leader urges vaccines - Reuters.com",2022-03-12T01:02:05Z,"Hong Kong leader Carrie Lam said on Friday that the city's COVID-19 vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of coronavirus infections and climbing death rates.","Posted 
Hong Kong leader Carrie Lam said on Friday that the city's COVID-19 vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of coronavirus infec… [+30 chars]","['#posted', '#hong', '#kong', '#leader', '#carrie']"
43,"COVID surges in Hong Kong, leader urges vaccines - Reuters.com",2022-03-12T01:29:54Z,"Hong Kong leader Carrie Lam said on Friday that the city's COVID-19 vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of coronavirus infections and climbing death rates.","Posted 
Hong Kong leader Carrie Lam said on Friday that the city's COVID-19 vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of coronavirus infec… [+30 chars]","['#posted', '#hong', '#kong', '#leader', '#carrie']"
44,Years of low U.S. consumer energy costs wane following Russian invasion - Reuters,2022-03-09T19:56:00Z,"U.S. motorists, already dealing with a steep rise in spending on fuel as the economy rebounded from the coronavirus-induced recession, are now dealing with surging gasoline prices after Russia's invasion of Ukraine.","NEW YORK, March 9 (Reuters) - U.S. motorists, already dealing with a steep rise in spending on fuel as the economy rebounded from the coronavirus-induced recession, are now dealing with surging gasol… [+2633 chars]","['#dealing', '#new', '#york', '#march', '#reuters']"
45,Omicron sub-variant BA.2 makes up 11.6% of COVID variants in U.S. - CDC - Reuters.com,2022-03-08T16:42:00Z,"The BA.2 sub-variant of Omicron was estimated to be 11.6% of the coronavirus variants circulating in the United States as of March 5, the U.S. Centers for Disease Control and Prevention (CDC) said on Tuesday.","March 8 (Reuters) - The BA.2 sub-variant of Omicron was estimated to be 11.6% of the coronavirus variants circulating in the United States as of March 5, the U.S. Centers for Disease Control and Prev… [+1350 chars]","['#march', '#reuters', '#sub', '#variant', '#omicron']"
46,Omicron sub-variant BA.2 makes up 34.9% of COVID variants in U.S. - CDC - Reuters.com,2022-03-22T14:22:00Z,"The BA.2 sub-variant of Omicron makes up over a third of all coronavirus variants circulating in the United States, according to an estimate from the U.S. Centers for Disease Control and Prevention (CDC) on Tuesday.","March 22 (Reuters) - The BA.2 sub-variant of Omicron makes up over a third of all coronavirus variants circulating in the United States, according to an estimate from the U.S. Centers for Disease Con… [+1304 chars]","['#march', '#reuters', '#sub', '#variant', '#omicron']"
47,"Canadian carriers see spring flying boost, but costs cloud horizon - Reuters.com",2022-03-09T20:12:00Z,"Canadian carriers are seeing a bounce in spring travel after a slump due to the spread of the Omicron coronavirus variant, with the country's largest airport bracing for its busiest travel day since the onset of the pandemic this Friday.","MONTREAL, March 9 (Reuters) - Canadian carriers are seeing a bounce in spring travel after a slump due to the spread of the Omicron coronavirus variant, with the country's largest airport bracing for… [+2933 chars]","['#montreal', '#march', '#reuters', '#carriers', '#seeing']"
48,Asia's COVID deaths surpass 1 million - Reuters tally - Reuters.com,2022-03-11T09:05:00Z,"Asia passed the grim milestone of 1 million coronavirus-linked deaths on Friday, a Reuters tally showed, as a spike in Omicron variant infections spreads across the region after starting in nations such as Japan and South Korea.","March 11 (Reuters) - Asia passed the grim milestone of 1 million coronavirus-linked deaths on Friday, a Reuters tally showed, as a spike in Omicron variant infections spreads across the region after … [+2876 chars]","['#reuters', '#march', '#asia', '#passed', '#milestone']"
49,Britain outlines terms of COVID-19 inquiry - Reuters UK,2022-03-10T15:18:00Z,"Britain on Thursday outlined the terms of reference of its planned inquiry into the COVID-19 pandemic, looking into the preparedness of the country as well as the public health and economic response to the coronavirus.","LONDON, March 10 (Reuters) - Britain on Thursday outlined the terms of reference of its planned inquiry into the COVID-19 pandemic, looking into the preparedness of the country as well as the public … [+1293 chars]","['#london', '#march', '#reuters', '#britain', '#thursday']"
50,"Analysis: An oil shock is coming, but the U.S. may have already paid for it - Reuters.com",2022-03-10T11:12:00Z,"The gusher of money the U.S. government poured into family bank accounts during the coronavirus pandemic, credited with speeding the rebound from the health crisis, may now help limit the economic damage from Russia's invasion of Ukraine.","WASHINGTON, March 10 (Reuters) - The gusher of money the U.S. government poured into family bank accounts during the coronavirus pandemic, credited with speeding the rebound from the health crisis, m… [+6820 chars]","['#washington', '#march', '#reuters', '#gusher', '#money']"
51,Australians told to get boosters amid COVID threat from new Omicron strain - Reuters,2022-03-14T04:01:00Z,Australian authorities on Monday warned the slow rollout of COVID-19 vaccine booster shots could unleash a new wave of infections amid the threat from the highly contagious BA.2 sub-variant of the Omicron coronavirus strain.,"SYDNEY, March 14 (Reuters) - Australian authorities on Monday warned the slow rollout of COVID-19 vaccine booster shots could unleash a new wave of infections amid the threat from the highly contagio… [+2190 chars]","['#sydney', '#march', '#reuters', '#authorities', '#monday']"
52,"China's yuan hits 1-month low as policy easing expectations, COVID resurgence hurt - Reuters.com",2022-03-14T04:22:00Z,"China's yuan weakened to a one-month low against the dollar on Monday, breaching a key threshold, pressured by rising expectations of monetary policy easing and worries over the fast spread of locally transmitted coronavirus cases.","SHANGHAI, March 14 (Reuters) - China's yuan weakened to a one-month low against the dollar on Monday, breaching a key threshold, pressured by rising expectations of monetary policy easing and worries… [+3138 chars]","['#shanghai', '#march', '#reuters', '#china', '#yuan']"
53,Gulf markets track oil prices lower; Ukraine crisis in focus - Reuters.com,2022-03-15T08:18:00Z,"Energy-heavy Gulf markets fell on Tuesday, tracking lower oil prices as Russia-Ukraine ceasefire talks eased fears of further supply oil disruptions and coronavirus cases in China fuelled concerns about slower crude demand.","March 15 (Reuters) - Energy-heavy Gulf markets fell on Tuesday, tracking lower oil prices as Russia-Ukraine ceasefire talks eased fears of further supply oil disruptions and coronavirus cases in Chin… [+1799 chars]","['#oil', '#march', '#reuters', '#energy', '#gulf']"
54,Hong Kong reports 20082 new COVID cases as city promised fewer restrictions - Reuters.com,2022-03-18T09:16:00Z,"Hong Kong reported about 20,000 new coronavirus cases on Friday as health experts called for a clear way out of a ""zero COVID"" policy that has left the city isolated.","HONG KONG, March 18 (Reuters) - Hong Kong reported about 20,000 new coronavirus cases on Friday as health experts called for a clear way out of a ""zero COVID"" policy that has left the city isolated.… [+2182 chars]","['#hong', '#kong', '#march', '#reuters', '#reported']"
55,Italy to announce plan to scrap COVID restrictions - Reuters.com,2022-03-17T13:38:00Z,The Italian government was set to announce a two-step plan on Thursday scrapping most of its coronavirus restrictions as the country nears the end of its state of emergency.,"ROME, March 17 (Reuters) - The Italian government was set to announce a two-step plan on Thursday scrapping most of its coronavirus restrictions as the country nears the end of its state of emergency… [+1246 chars]","['#rome', '#march', '#reuters', '#government', '#set']"
56,Ecuador ends COVID limits on gatherings after hitting vaccination goal - Reuters Canada,2022-03-18T22:28:00Z,"Ecuador's president on Friday announced an end to coronavirus limits on public and private gatherings, but the South American country will continue to require foreign visitors to show proof of vaccinations or a negative COVID-19 test.","QUITO, March 18 (Reuters) - Ecuador's president on Friday announced an end to coronavirus limits on public and private gatherings, but the South American country will continue to require foreign visi… [+1841 chars]","['#quito', '#march', '#reuters', '#ecuador', '#president']"
57,Hong Kong hopes to 'resolve' coronavirus flight-ban rule as frustration grows - Reuters.com,2022-03-23T05:34:00Z,"Hong Kong is looking to amend its coronavirus travel restrictions that have largely sealed off the international business and tourism hub for two years to the growing anger of residents and businesses, the city leader said on Wednesday.","HONG KONG, March 23 (Reuters) - Hong Kong is looking to amend its coronavirus travel restrictions that have largely sealed off the international business and tourism hub for two years to the growing … [+2187 chars]","['#hong', '#kong', '#march', '#reuters', '#looking']"
58,"Not again: two years after fleeing COVID in China, Ukrainian runs from war - Reuters.com",2022-03-19T20:40:00Z,"Two years ago Julia Volok was shocked to experience an angry reception from fellow Ukrainians as she fled home from Wuhan in China, the epicentre of the soon-to-be global coronavirus pandemic.","LVIV, Ukraine, March 19 (Reuters) - Two years ago Julia Volok was shocked to experience an angry reception from fellow Ukrainians as she fled home from Wuhan in China, the epicentre of the soon-to-be… [+1941 chars]","['#lviv', '#ukraine', '#march', '#reuters', '#years']"
59,Thailand drops pre-departure test requirement for visitors - Reuters.com,2022-03-18T10:24:00Z,Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance and an on-arrival test.,"BANGKOK, March 18 (Reuters) - Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance a… [+1652 chars]","['#bangkok', '#march', '#reuters', '#thailand', '#said']"
60,"Australia leaders to meet amid Omicron sub-variant concerns, flood damage - Reuters",2022-03-11T00:40:00Z,"Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while eastern states battle to clear tonnes of debris after devastating floods.","SYDNEY, March 11 (Reuters) - Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while ea… [+2112 chars]","['#sydney', '#march', '#reuters', '#australia', '#cabinet']"
61,Hong Kong leader says no plans to tighten COVID social distancing measures - Reuters.com,2022-03-14T05:19:00Z,Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepening coronavirus outbreak which has submerged its health system and seen deaths soar.,"HONG KONG, March 14 (Reuters) - Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepenin… [+2251 chars]","['#hong', '#kong', '#march', '#reuters', '#leader']"
62,"Europe stocks fall as China COVID surge weighs on oil majors, miners - Reuters.com",2022-03-15T08:28:00Z,"European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meeting this week added to the gloom.","March 15 (Reuters) - European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meetin… [+1071 chars]","['#march', '#reuters', '#stock', '#markets', '#fell']"
63,Global energy-related carbon emissions rose 6% in 2021 to new record high -IEA - Reuters.com,2022-03-08T14:48:00Z,"Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the International Energy Agency (IEA) said on Tuesday.","LONDON, March 8 (Reuters) - Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the… [+1403 chars]","['#london', '#march', '#reuters', '#energy', '#related']"
